timestamp_ms,seq,angular_delta,qw,qx,qy,qz,px,py,pz,delta_dist,flags
410,41,0.470961,0.937771,-0.033520,0.094554,0.332449,0.3678,0.3043,-0.0952,0.011774,0x00
420,42,0.470793,0.937846,-0.033502,0.094572,0.332232,0.3759,0.3098,-0.0974,0.011770,0x00
430,43,0.470624,0.937922,-0.033484,0.094590,0.332014,0.3853,0.3190,-0.1023,0.011766,0x00
440,44,0.470456,0.937998,-0.033465,0.094608,0.331797,0.3945,0.3243,-0.1038,0.011761,0x00
450,45,0.470288,0.938074,-0.033447,0.094625,0.331579,0.4024,0.3317,-0.1065,0.011757,0x00
460,46,0.470120,0.938150,-0.033429,0.094643,0.331362,0.4097,0.3387,-0.1078,0.011753,0x00
470,47,0.469952,0.938225,-0.033410,0.094661,0.331144,0.4213,0.3460,-0.1104,0.011749,0x00
480,48,0.469785,0.938301,-0.033392,0.094679,0.330926,0.4291,0.3550,-0.1134,0.011745,0x00
490,49,0.469617,0.938377,-0.033374,0.094697,0.330708,0.4386,0.3614,-0.1131,0.011740,0x00
500,50,0.469450,0.938452,-0.033355,0.094715,0.330490,0.4471,0.3689,-0.1172,0.011736,0x00
510,51,0.469283,0.938528,-0.033337,0.094733,0.330272,0.4559,0.3743,-0.1209,0.011732,0x00
520,52,0.469115,0.938604,-0.033318,0.094750,0.330054,0.4665,0.3828,-0.1229,0.011728,0x00
530,53,0.468948,0.938679,-0.033300,0.094768,0.329836,0.4757,0.3895,-0.1251,0.011724,0x00
540,54,0.468781,0.938755,-0.033281,0.094786,0.329617,0.4822,0.3978,-0.1271,0.011720,0x00
550,55,0.468615,0.938830,-0.033263,0.094804,0.329399,0.4935,0.4035,-0.1299,0.011715,0x00
560,56,0.468448,0.938906,-0.033244,0.094821,0.329180,0.5004,0.4116,-0.1305,0.011711,0x00
570,57,0.468282,0.938981,-0.033226,0.094839,0.328961,0.5103,0.4176,-0.1351,0.011707,0x00
580,58,0.468115,0.939057,-0.033207,0.094857,0.328742,0.5179,0.4248,-0.1360,0.011703,0x00
590,59,0.467949,0.939132,-0.033189,0.094875,0.328523,0.5271,0.4336,-0.1390,0.011699,0x00
600,60,0.467783,0.939208,-0.033170,0.094892,0.328304,0.5369,0.4406,-0.1423,0.011695,0x00
610,61,0.467617,0.939283,-0.033151,0.094910,0.328085,0.5473,0.4469,-0.1441,0.011690,0x00
620,62,0.467451,0.939359,-0.033133,0.094928,0.327866,0.5549,0.4554,-0.1455,0.011686,0x00
630,63,0.467285,0.939434,-0.033114,0.094945,0.327647,0.5617,0.4621,-0.1501,0.011682,0x00
640,64,0.467119,0.939510,-0.033095,0.094963,0.327427,0.5730,0.4688,-0.1511,0.011678,0x00
650,65,0.466954,0.939585,-0.033077,0.094980,0.327208,0.5828,0.4767,-0.1539,0.011674,0x00
660,66,0.466789,0.939660,-0.033058,0.094998,0.326988,0.5904,0.4831,-0.1570,0.011670,0x00
670,67,0.466623,0.939736,-0.033039,0.095016,0.326768,0.5997,0.4916,-0.1593,0.011666,0x00
680,68,0.466458,0.939811,-0.033020,0.095033,0.326548,0.6088,0.4967,-0.1581,0.011661,0x00
690,69,0.466293,0.939886,-0.033002,0.095051,0.326328,0.6176,0.5039,-0.1634,0.011657,0x00
700,70,0.466128,0.939961,-0.032983,0.095068,0.326108,0.6271,0.5117,-0.1656,0.011653,0x00
710,71,0.465963,0.940037,-0.032964,0.095086,0.325888,0.6370,0.5188,-0.1662,0.011649,0x00
720,72,0.465799,0.940112,-0.032945,0.095103,0.325668,0.6447,0.5258,-0.1696,0.011645,0x00
730,73,0.465634,0.940187,-0.032926,0.095121,0.325448,0.6554,0.5327,-0.1717,0.011641,0x00
740,74,0.465470,0.940262,-0.032907,0.095138,0.325227,0.6625,0.5392,-0.1738,0.011637,0x00
750,75,0.465306,0.940337,-0.032888,0.095156,0.325007,0.6727,0.5460,-0.1763,0.011633,0x00
760,76,0.465142,0.940413,-0.032870,0.095173,0.324786,0.6811,0.5541,-0.1804,0.011629,0x00
770,77,0.464978,0.940488,-0.032851,0.095191,0.324565,0.6889,0.5594,-0.1810,0.011624,0x00
780,78,0.464814,0.940563,-0.032832,0.095208,0.324344,0.6979,0.5673,-0.1846,0.011620,0x00
790,79,0.464650,0.940638,-0.032813,0.095226,0.324123,0.7074,0.5737,-0.1850,0.011616,0x00
800,80,0.464486,0.940713,-0.032794,0.095243,0.323902,0.7172,0.5820,-0.1884,0.011612,0x00
810,81,0.464323,0.940788,-0.032775,0.095260,0.323681,0.7236,0.5884,-0.1911,0.011608,0x00
820,82,0.464159,0.940863,-0.032756,0.095278,0.323460,0.7349,0.5964,-0.1924,0.011604,0x00
830,83,0.463996,0.940938,-0.032736,0.095295,0.323238,0.7449,0.6022,-0.1956,0.011600,0x00
840,84,0.463833,0.941013,-0.032717,0.095312,0.323017,0.7536,0.6099,-0.1976,0.011596,0x00
850,85,0.463670,0.941088,-0.032698,0.095330,0.322795,0.7634,0.6173,-0.1999,0.011592,0x00
860,86,0.463507,0.941163,-0.032679,0.095347,0.322574,0.7698,0.6250,-0.2018,0.011588,0x00
870,87,0.463345,0.941238,-0.032660,0.095364,0.322352,0.7795,0.6313,-0.2034,0.011584,0x00
880,88,0.463182,0.941312,-0.032641,0.095382,0.322130,0.7890,0.6385,-0.2062,0.011580,0x00
890,89,0.463019,0.941387,-0.032622,0.095399,0.321908,0.7980,0.6438,-0.2072,0.011575,0x00
900,90,0.462857,0.941462,-0.032602,0.095416,0.321686,0.8051,0.6518,-0.2126,0.011571,0x00
910,91,0.462695,0.941537,-0.032583,0.095433,0.321464,0.8152,0.6579,-0.2135,0.011567,0x00
920,92,0.462533,0.941612,-0.032564,0.095450,0.321241,0.8246,0.6644,-0.2160,0.011563,0x00
930,93,0.462371,0.941687,-0.032545,0.095468,0.321019,0.8346,0.6710,-0.2191,0.011559,0x00
940,94,0.462209,0.941761,-0.032525,0.095485,0.320797,0.8431,0.6793,-0.2204,0.011555,0x00
950,95,0.462047,0.941836,-0.032506,0.095502,0.320574,0.8522,0.6853,-0.2234,0.011551,0x00
960,96,0.461886,0.941911,-0.032487,0.095519,0.320351,0.8595,0.6927,-0.2239,0.011547,0x00
970,97,0.461724,0.941985,-0.032467,0.095536,0.320129,0.8674,0.6987,-0.2289,0.011543,0x00
980,98,0.461563,0.942060,-0.032448,0.095553,0.319906,0.8795,0.7062,-0.2302,0.011539,0x00
990,99,0.461402,0.942135,-0.032429,0.095570,0.319683,0.8854,0.7134,-0.2313,0.011535,0x00
1000,100,0.461240,0.942209,-0.032409,0.095588,0.319460,0.8963,0.7204,-0.2360,0.011531,0x00
1010,101,0.461079,0.942284,-0.032390,0.095605,0.319236,0.9046,0.7275,-0.2378,0.011527,0x00
1020,102,0.460919,0.942358,-0.032370,0.095622,0.319013,0.9146,0.7351,-0.2396,0.011523,0x00
1030,103,0.460758,0.942433,-0.032351,0.095639,0.318790,0.9236,0.7410,-0.2403,0.011519,0x00
1040,104,0.460597,0.942507,-0.032332,0.095656,0.318566,0.9339,0.7469,-0.2430,0.011515,0x00
1050,105,0.460437,0.942582,-0.032312,0.095673,0.318343,0.9421,0.7538,-0.2466,0.011511,0x00
1060,106,0.460277,0.942656,-0.032293,0.095690,0.318119,0.9492,0.7615,-0.2487,0.011507,0x00
1070,107,0.460116,0.942731,-0.032273,0.095707,0.317895,0.9586,0.7693,-0.2526,0.011503,0x00
1080,108,0.459956,0.942805,-0.032253,0.095724,0.317671,0.9668,0.7759,-0.2524,0.011499,0x00
1090,109,0.459796,0.942880,-0.032234,0.095741,0.317447,0.9756,0.7826,-0.2540,0.011495,0x00
1100,110,0.459636,0.942954,-0.032214,0.095758,0.317223,0.9856,0.7879,-0.2567,0.011491,0x00
1110,111,0.459477,0.943028,-0.032195,0.095774,0.316999,0.9964,0.7948,-0.2599,0.011487,0x00
1120,112,0.459317,0.943103,-0.032175,0.095791,0.316775,1.0047,0.8026,-0.2640,0.011483,0x00
1130,113,0.459158,0.943177,-0.032155,0.095808,0.316550,1.0130,0.8083,-0.2658,0.011479,0x00
1140,114,0.458998,0.943251,-0.032136,0.095825,0.316326,1.0198,0.8172,-0.2677,0.011475,0x00
1150,115,0.458839,0.943325,-0.032116,0.095842,0.316101,1.0308,0.8234,-0.2690,0.011471,0x00
1160,116,0.458680,0.943400,-0.032096,0.095859,0.315877,1.0398,0.8300,-0.2713,0.011467,0x00
1170,117,0.458521,0.943474,-0.032076,0.095876,0.315652,1.0477,0.8355,-0.2739,0.011463,0x00
1180,118,0.458362,0.943548,-0.032057,0.095892,0.315427,1.0573,0.8435,-0.2750,0.011459,0x00
1190,119,0.458204,0.943622,-0.032037,0.095909,0.315202,1.0667,0.8490,-0.2805,0.011455,0x00
1200,120,0.458045,0.943696,-0.032017,0.095926,0.314977,1.0746,0.8552,-0.2814,0.011451,0x00
1210,121,0.457887,0.943770,-0.031997,0.095943,0.314752,1.0845,0.8634,-0.2811,0.011447,0x00
1220,122,0.457728,0.943844,-0.031978,0.095959,0.314527,1.0937,0.8719,-0.2846,0.011443,0x00
1230,123,0.457570,0.943918,-0.031958,0.095976,0.314301,1.1033,0.8764,-0.2886,0.011439,0x00
1240,124,0.457412,0.943992,-0.031938,0.095993,0.314076,1.1107,0.8835,-0.2905,0.011435,0x00
1250,125,0.457254,0.944066,-0.031918,0.096010,0.313850,1.1192,0.8906,-0.2932,0.011431,0x00
1260,126,0.457096,0.944140,-0.031898,0.096026,0.313624,1.1276,0.8958,-0.2947,0.011427,0x00
1270,127,0.456939,0.944214,-0.031878,0.096043,0.313399,1.1371,0.9033,-0.2962,0.011423,0x00
1280,128,0.456781,0.944288,-0.031858,0.096060,0.313173,1.1476,0.9096,-0.3004,0.011420,0x00
1290,129,0.456624,0.944362,-0.031838,0.096076,0.312947,1.1555,0.9176,-0.3005,0.011416,0x00
1300,130,0.456466,0.944436,-0.031818,0.096093,0.312721,1.1654,0.9248,-0.3019,0.011412,0x00
1310,131,0.456309,0.944510,-0.031798,0.096109,0.312495,1.1735,0.9318,-0.3062,0.011408,0x00
1320,132,0.456152,0.944584,-0.031778,0.096126,0.312268,1.1840,0.9376,-0.3102,0.011404,0x00
1330,133,0.455995,0.944658,-0.031758,0.096142,0.312042,1.1909,0.9424,-0.3123,0.011400,0x00
1340,134,0.455838,0.944731,-0.031738,0.096159,0.311816,1.2017,0.9523,-0.3131,0.011396,0x00
1350,135,0.455682,0.944805,-0.031718,0.096175,0.311589,1.2107,0.9584,-0.3149,0.011392,0x00
1360,136,0.455525,0.944879,-0.031698,0.096192,0.311362,1.2188,0.9633,-0.3169,0.011388,0x00
1370,137,0.455369,0.944952,-0.031678,0.096208,0.311136,1.2286,0.9706,-0.3193,0.011384,0x00
1380,138,0.455212,0.945026,-0.031657,0.096225,0.310909,1.2367,0.9752,-0.3211,0.011380,0x00
1390,139,0.455056,0.945100,-0.031637,0.096241,0.310682,1.2444,0.9840,-0.3236,0.011376,0x00
1400,140,0.454900,0.945173,-0.031617,0.096258,0.310455,1.2535,0.9894,-0.3245,0.011373,0x00
1410,141,0.454744,0.945247,-0.031597,0.096274,0.310228,1.2636,0.9954,-0.3281,0.011369,0x00
1420,142,0.454589,0.945321,-0.031577,0.096291,0.310000,1.2718,1.0012,-0.3307,0.011365,0x00
1430,143,0.454433,0.945394,-0.031556,0.096307,0.309773,1.2807,1.0101,-0.3343,0.011361,0x00
1440,144,0.454277,0.945468,-0.031536,0.096323,0.309545,1.2913,1.0165,-0.3384,0.011357,0x00
1450,145,0.454122,0.945541,-0.031516,0.096340,0.309318,1.2999,1.0226,-0.3367,0.011353,0x00
1460,146,0.453967,0.945614,-0.031496,0.096356,0.309090,1.3089,1.0302,-0.3411,0.011349,0x00
1470,147,0.453812,0.945688,-0.031475,0.096372,0.308863,1.3167,1.0360,-0.3430,0.011345,0x00
1480,148,0.453657,0.945761,-0.031455,0.096389,0.308635,1.3278,1.0424,-0.3462,0.011341,0x00
1490,149,0.453502,0.945835,-0.031435,0.096405,0.308407,1.3346,1.0501,-0.3474,0.011338,0x00
1500,150,0.453347,0.945908,-0.031414,0.096421,0.308179,1.3441,1.0567,-0.3504,0.011334,0x00
1510,151,0.453192,0.945981,-0.031394,0.096437,0.307951,1.3511,1.0614,-0.3516,0.011330,0x00
1520,152,0.453038,0.946055,-0.031373,0.096454,0.307722,1.3620,1.0672,-0.3531,0.011326,0x00
1530,153,0.452883,0.946128,-0.031353,0.096470,0.307494,1.3714,1.0757,-0.3560,0.011322,0x00
1540,154,0.452729,0.946201,-0.031332,0.096486,0.307266,1.3789,1.0821,-0.3578,0.011318,0x00
1550,155,0.452575,0.946274,-0.031312,0.096502,0.307037,1.3903,1.0890,-0.3604,0.011314,0x00
1560,156,0.452421,0.946347,-0.031292,0.096518,0.306809,1.3964,1.0948,-0.3642,0.011311,0x00
1570,157,0.452267,0.946421,-0.031271,0.096534,0.306580,1.4084,1.1024,-0.3665,0.011307,0x00
1580,158,0.452113,0.946494,-0.031250,0.096551,0.306351,1.4161,1.1080,-0.3669,0.011303,0x00
1590,159,0.451960,0.946567,-0.031230,0.096567,0.306122,1.4234,1.1120,-0.3700,0.011299,0x00
1600,160,0.451806,0.946640,-0.031209,0.096583,0.305893,1.4315,1.1209,-0.3718,0.011295,0x00
1610,161,0.451653,0.946713,-0.031189,0.096599,0.305664,1.4443,1.1266,-0.3745,0.011291,0x00
1620,162,0.451499,0.946786,-0.031168,0.096615,0.305435,1.4526,1.1325,-0.3760,0.011287,0x00
1630,163,0.451346,0.946859,-0.031147,0.096631,0.305206,1.4612,1.1395,-0.3791,0.011284,0x00
1640,164,0.451193,0.946932,-0.031127,0.096647,0.304976,1.4698,1.1474,-0.3818,0.011280,0x00
1650,165,0.451040,0.947005,-0.031106,0.096663,0.304747,1.4791,1.1524,-0.3847,0.011276,0x00
1660,166,0.450888,0.947078,-0.031085,0.096679,0.304517,1.4880,1.1586,-0.3852,0.011272,0x00
1670,167,0.450735,0.947151,-0.031065,0.096695,0.304287,1.4974,1.1651,-0.3881,0.011268,0x00
1680,168,0.450583,0.947223,-0.031044,0.096711,0.304058,1.5050,1.1707,-0.3912,0.011265,0x00
1690,169,0.450430,0.947296,-0.031023,0.096727,0.303828,1.5147,1.1792,-0.3927,0.011261,0x00
1700,170,0.450278,0.947369,-0.031003,0.096743,0.303598,1.5246,1.1841,-0.3955,0.011257,0x00
1710,171,0.450126,0.947442,-0.030982,0.096758,0.303368,1.5344,1.1896,-0.3979,0.011253,0x00
1720,172,0.449974,0.947515,-0.030961,0.096774,0.303137,1.5406,1.1977,-0.4001,0.011249,0x00
1730,173,0.449822,0.947587,-0.030940,0.096790,0.302907,1.5513,1.2046,-0.4033,0.011246,0x00
1740,174,0.449670,0.947660,-0.030919,0.096806,0.302677,1.5590,1.2107,-0.4035,0.011242,0x00
1750,175,0.449519,0.947733,-0.030898,0.096822,0.302446,1.5710,1.2178,-0.4075,0.011238,0x00
1760,176,0.449367,0.947805,-0.030877,0.096838,0.302216,1.5775,1.2236,-0.4093,0.011234,0x00
1770,177,0.449216,0.947878,-0.030857,0.096853,0.301985,1.5870,1.2275,-0.4105,0.011230,0x00
1780,178,0.449065,0.947950,-0.030836,0.096869,0.301754,1.5950,1.2361,-0.4118,0.011227,0x00
1790,179,0.448913,0.948023,-0.030815,0.096885,0.301524,1.6032,1.2428,-0.4148,0.011223,0x00
1800,180,0.448762,0.948095,-0.030794,0.096901,0.301293,1.6136,1.2473,-0.4165,0.011219,0x00
1810,181,0.448612,0.948168,-0.030773,0.096916,0.301062,1.6222,1.2547,-0.4204,0.011215,0x00
1820,182,0.448461,0.948240,-0.030752,0.096932,0.300831,1.6310,1.2604,-0.4222,0.011212,0x00
1830,183,0.448310,0.948313,-0.030731,0.096948,0.300599,1.6398,1.2685,-0.4241,0.011208,0x00
1840,184,0.448160,0.948385,-0.030710,0.096963,0.300368,1.6509,1.2740,-0.4277,0.011204,0x00
1850,185,0.448009,0.948457,-0.030689,0.096979,0.300137,1.6568,1.2827,-0.4285,0.011200,0x00
1860,186,0.447859,0.948530,-0.030668,0.096994,0.299905,1.6666,1.2885,-0.4301,0.011196,0x00
1870,187,0.447709,0.948602,-0.030646,0.097010,0.299673,1.6749,1.2923,-0.4339,0.011193,0x00
1880,188,0.447559,0.948674,-0.030625,0.097026,0.299442,1.6841,1.2993,-0.4353,0.011189,0x00
1890,189,0.447409,0.948746,-0.030604,0.097041,0.299210,1.6928,1.3060,-0.4371,0.011185,0x00
1900,190,0.447260,0.948819,-0.030583,0.097057,0.298978,1.7035,1.3119,-0.4412,0.011181,0x00
1910,191,0.447110,0.948891,-0.030562,0.097072,0.298746,1.7129,1.3171,-0.4425,0.011178,0x00
1920,192,0.446961,0.948963,-0.030541,0.097088,0.298514,1.7211,1.3256,-0.4456,0.011174,0x00
1930,193,0.446811,0.949035,-0.030520,0.097103,0.298282,1.7296,1.3295,-0.4469,0.011170,0x00
1940,194,0.446662,0.949107,-0.030498,0.097119,0.298050,1.7386,1.3362,-0.4503,0.011167,0x00
1950,195,0.446513,0.949179,-0.030477,0.097134,0.297817,1.7485,1.3422,-0.4528,0.011163,0x00
1960,196,0.446364,0.949251,-0.030456,0.097149,0.297585,1.7579,1.3493,-0.4531,0.011159,0x00
1970,197,0.446215,0.949323,-0.030434,0.097165,0.297352,1.7656,1.3557,-0.4562,0.011155,0x00
1980,198,0.446067,0.949395,-0.030413,0.097180,0.297120,1.7763,1.3633,-0.4575,0.011152,0x00
1990,199,0.445918,0.949467,-0.030392,0.097196,0.296887,1.7832,1.3672,-0.4601,0.011148,0x00
2000,200,0.445769,0.949539,-0.030371,0.097211,0.296654,1.7942,1.3756,-0.4631,0.011144,0x00
2010,201,0.445621,0.949611,-0.030349,0.097226,0.296421,1.8025,1.3814,-0.4652,0.011141,0x00
2020,202,0.445473,0.949683,-0.030328,0.097241,0.296188,1.8110,1.3869,-0.4684,0.011137,0x00
2030,203,0.445325,0.949754,-0.030306,0.097257,0.295955,1.8191,1.3923,-0.4715,0.011133,0x00
2040,204,0.445177,0.949826,-0.030285,0.097272,0.295722,1.8289,1.3992,-0.4714,0.011129,0x00
2050,205,0.445029,0.949898,-0.030264,0.097287,0.295488,1.8390,1.4067,-0.4730,0.011126,0x00
2060,206,0.444881,0.949970,-0.030242,0.097302,0.295255,1.8459,1.4101,-0.4757,0.011122,0x00
2070,207,0.444734,0.950041,-0.030221,0.097318,0.295021,1.8570,1.4193,-0.4784,0.011118,0x00
2080,208,0.444586,0.950113,-0.030199,0.097333,0.294788,1.8626,1.4243,-0.4806,0.011115,0x00
2090,209,0.444439,0.950184,-0.030178,0.097348,0.294554,1.8748,1.4315,-0.4825,0.011111,0x00
2100,210,0.444292,0.950256,-0.030156,0.097363,0.294320,1.8820,1.4352,-0.4851,0.011107,0x00
2110,211,0.444145,0.950328,-0.030134,0.097378,0.294086,1.8907,1.4438,-0.4896,0.011104,0x00
2120,212,0.443998,0.950399,-0.030113,0.097393,0.293852,1.9011,1.4488,-0.4904,0.011100,0x00
2130,213,0.443851,0.950471,-0.030091,0.097408,0.293618,1.9085,1.4525,-0.4930,0.011096,0x00
2140,214,0.443705,0.950542,-0.030070,0.097423,0.293384,1.9179,1.4618,-0.4955,0.011093,0x00
2150,215,0.443558,0.950613,-0.030048,0.097439,0.293150,1.9279,1.4656,-0.4964,0.011089,0x00
2160,216,0.443412,0.950685,-0.030026,0.097454,0.292916,1.9341,1.4751,-0.4993,0.011085,0x00
2170,217,0.443265,0.950756,-0.030005,0.097469,0.292681,1.9426,1.4783,-0.5023,0.011082,0x00
2180,218,0.443119,0.950827,-0.029983,0.097484,0.292447,1.9537,1.4848,-0.5043,0.011078,0x00
2190,219,0.442973,0.950899,-0.029961,0.097498,0.292212,1.9625,1.4901,-0.5051,0.011074,0x00
2200,220,0.442827,0.950970,-0.029940,0.097513,0.291977,1.9735,1.4971,-0.5082,0.011071,0x00
2210,221,0.442681,0.951041,-0.029918,0.097528,0.291743,1.9801,1.5035,-0.5102,0.011067,0x00
2220,222,0.442536,0.951112,-0.029896,0.097543,0.291508,1.9900,1.5099,-0.5123,0.011063,0x00
2230,223,0.442390,0.951184,-0.029874,0.097558,0.291273,1.9981,1.5167,-0.5151,0.011060,0x00
2240,224,0.442245,0.951255,-0.029853,0.097573,0.291038,2.0098,1.5220,-0.5152,0.011056,0x00
2250,225,0.442099,0.951326,-0.029831,0.097588,0.290802,2.0183,1.5279,-0.5201,0.011052,0x00
2260,226,0.441954,0.951397,-0.029809,0.097603,0.290567,2.0254,1.5342,-0.5215,0.011049,0x00
2270,227,0.441809,0.951468,-0.029787,0.097617,0.290332,2.0345,1.5406,-0.5238,0.011045,0x00
2280,228,0.441664,0.951539,-0.029765,0.097632,0.290096,2.0449,1.5448,-0.5251,0.011042,0x00
2290,229,0.441520,0.951610,-0.029743,0.097647,0.289861,2.0535,1.5530,-0.5274,0.011038,0x00
2300,230,0.441375,0.951681,-0.029721,0.097662,0.289625,2.0619,1.5577,-0.5288,0.011034,0x00
2310,231,0.441230,0.951752,-0.029699,0.097676,0.289389,2.0707,1.5646,-0.5332,0.011031,0x00
2320,232,0.441086,0.951822,-0.029678,0.097691,0.289153,2.0781,1.5686,-0.5347,0.011027,0x00
2330,233,0.440942,0.951893,-0.029656,0.097706,0.288917,2.0896,1.5763,-0.5362,0.011024,0x00
2340,234,0.440798,0.951964,-0.029634,0.097720,0.288681,2.0983,1.5811,-0.5390,0.011020,0x00
2350,235,0.440654,0.952035,-0.029612,0.097735,0.288445,2.1070,1.5873,-0.5413,0.011016,0x00
2360,236,0.440510,0.952106,-0.029590,0.097750,0.288209,2.1159,1.5932,-0.5442,0.011013,0x00
2370,237,0.440366,0.952176,-0.029567,0.097764,0.287973,2.1262,1.6012,-0.5461,0.011009,0x00
2380,238,0.440222,0.952247,-0.029545,0.097779,0.287736,2.1338,1.6043,-0.5468,0.011006,0x00
2390,239,0.440079,0.952317,-0.029523,0.097793,0.287500,2.1438,1.6125,-0.5530,0.011002,0x00
2400,240,0.439935,0.952388,-0.029501,0.097808,0.287263,2.1517,1.6176,-0.5523,0.010998,0x00
2410,241,0.439792,0.952459,-0.029479,0.097822,0.287027,2.1602,1.6234,-0.5546,0.010995,0x00
2420,242,0.439649,0.952529,-0.029457,0.097837,0.286790,2.1689,1.6290,-0.5573,0.010991,0x00
2430,243,0.439506,0.952600,-0.029435,0.097851,0.286553,2.1799,1.6363,-0.5586,0.010988,0x00
2440,244,0.439363,0.952670,-0.029413,0.097866,0.286316,2.1876,1.6430,-0.5637,0.010984,0x00
2450,245,0.439220,0.952740,-0.029390,0.097880,0.286079,2.1986,1.6495,-0.5637,0.010981,0x00
2460,246,0.439078,0.952811,-0.029368,0.097895,0.285842,2.2063,1.6533,-0.5666,0.010977,0x00
2470,247,0.438935,0.952881,-0.029346,0.097909,0.285605,2.2139,1.6592,-0.5681,0.010973,0x00
2480,248,0.438793,0.952951,-0.029324,0.097923,0.285368,2.2239,1.6671,-0.5707,0.010970,0x00
2490,249,0.438650,0.953022,-0.029302,0.097938,0.285130,2.2309,1.6727,-0.5743,0.010966,0x00
